"Location_name","Status","Priority","Address","City","State","Zip_code","Country","Phone","Email","Website","Facebook","Instagram","YouTube","Twitter","LinkedIn","Fax","Img","Tags","Products","Description","Lat","Lng","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","Position_loca","Position_phone","Position_fax","Position_email","Position_web","Position_social","Marker"
"KORKMAZ ECZANESİ","active","10000","DURSUNBEY","BALIKESİR","","","Türkiye","2666621288","","","","","","","","","","Eczane","","","39.585671","28.627058","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"VİTAMİN ECZANESİ","active","10000","ALANYA","ANTALYA","","","Türkiye","2425117171","","","","","","","","","","Eczane","","","36.544443","31.995408","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"YENIKENT BERK ECZANESI","active","10000","ANKARA ESENBOĞA HAVALIMANI","ANKARA","","","Türkiye","","","","","","","","","","","Eczane","","","40.1149458","32.9926733","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"GAZI ECZANESİ","active","10000","ÇUKUROVA","ADANA","","","Türkiye","3229995035","","","","","","","","","","Eczane","","","37.0840599","35.1928634","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"DILEK ECZANESI","active","10000","MERKEZ","BALIKESİR","","","Türkiye","2662246110","","","","","","","","","","Eczane","","","39.6062857","27.8311428","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ŞİRİN ECZANESI","active","10000","KARASU","SAKARYA","","","Türkiye","2647181995","","","","","","","","","","Eczane","","","41.095615","30.692356","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"BEYAZ ECZANESİ","active","10000","MERAM","KONYA","","","Türkiye","3323223211","","","","","","","","","","Eczane","","","37.8746429","32.4931554","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"CUMHURİYET ECZANESİ","active","10000","MERKEZ","SİNOP","","","Türkiye","3682612516","","","","","","","","","","Eczane","","","41.8654514","35.0456587","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ERGUL ECZANESI","active","10000","MERKEZ","ORDU","","","Türkiye","","","","","","","","","","","Eczane","","","40.986166","37.879721","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"EDA GÜNDÜZ ECZANESİ","active","10000","KESTEL","BURSA","","","Türkiye","2243722255","","","","","","","","","","Eczane","","","40.20095000000001","29.212532","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
"ANIL ECZANESİ","active","10000","KEÇİÖREN","ANKARA","","","Türkiye","3125807675","","","","","","","","","","Eczane","","","40.0210623","32.831015","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-18:30","08:30-13:00","Kapalı","","","","","","","https://store-locator.bsscommerce.com/image/location-pin.svg"
